stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
1805,OATES RD @ DEBRA RD,,29.80518,-95.24058,,
1806,OATES RD @ NEEDHAM ST,,29.80163,-95.24055,,
1807,OATES RD @ NEEDHAM ST,,29.79887,-95.2411,,
1809,WALLISVILLE RD @ TRAILMOBILE DR,,29.79364,-95.25411,,
1810,WALLISVILLE RD @ MESA DR,,29.79279,-95.25844,,
1811,WALLISVILLE RD @ MANITOU DR,,29.79205,-95.26421,,
1812,BRETON RIDGE DR @ FM 1960 RD,,29.966149,-95.539948,,
1813,FANNIN ST @ FRANKLIN ST,,29.762634,-95.359245,,
1814,FANNIN ST @ PRESTON ST,,29.761153,-95.36042,,
1815,FANNIN ST @ PRAIRIE ST,,29.760364,-95.361046,,
1816,FANNIN ST @ BELL ST,,29.752836,-95.367012,,
1817,FANNIN ST @ LEELAND ST,,29.752095,-95.367615,,
1818,FANNIN ST @ JEFFERSON ST,,29.750614,-95.36875,,
1819,FANNIN ST @ ST JOSEPH PKWY,,29.749877,-95.369338,,
1820,SAN JACINTO ST @ JEFFERSON ST,,29.749774,-95.367935,,
1821,SAN JACINTO ST @ PRAIRIE ST,,29.759543,-95.360214,,
1822,SAN JACINTO ST @ PRESTON ST,,29.760316,-95.359604,,
1823,SAN JACINTO ST @ FRANKLIN ST,,29.761623,-95.35856,,
1825,SAN JACINTO ST @ WOOD ST,,29.766476,-95.356415,,
1837,CAPITOL ST @ BAGBY ST,,29.762335,-95.368907,,
1841,FANNIN ST @ TEXAS AVE,,29.75961,-95.361651,,
1842,FANNIN ST @ CAPITOL ST,,29.75892,-95.36219,,
1843,FANNIN ST @ RUSK ST,,29.758066,-95.362871,,
1844,FANNIN ST @ WALKER ST,,29.757323,-95.363457,,
1845,FANNIN ST @ MC KINNEY ST,,29.756585,-95.364047,,
1846,FANNIN ST @ LAMAR ST,,29.755861,-95.364627,,
1847,FANNIN ST @ DALLAS ST,,29.755082,-95.365242,,
1848,FANNIN ST @ POLK ST,,29.754347,-95.365829,,
1849,FANNIN ST @ CLAY ST,,29.753684,-95.366349,,
1850,FANNIN ST @ PEASE ST,,29.751384,-95.368172,,
1851,FANNIN ST @ PIERCE ST,,29.749124,-95.369964,,
1852,SAN JACINTO ST @ ST JOSEPH PKWY,,29.749039,-95.36853,,
1853,SAN JACINTO ST @ BELL ST,,29.752015,-95.366173,,
1854,SAN JACINTO ST @ CLAY ST,,29.752767,-95.365578,,
1855,SAN JACINTO ST @ POLK ST,,29.753534,-95.364967,,
1856,SAN JACINTO ST @ DALLAS ST,,29.754278,-95.36438,,
1857,SAN JACINTO ST @ LAMAR ST,,29.755013,-95.363802,,
1858,SAN JACINTO ST @ MC KINNEY ST,,29.755746,-95.36322,,
1859,SAN JACINTO ST @ WALKER ST,,29.756466,-95.362605,,
1861,SAN JACINTO ST @ RUSK ST,,29.757238,-95.362032,,
